seed,scenario,strategy,jobs,success_rate,stranded,duplicate_generations,total_cost,cost_per_1k_success,retry_amplification,p50_completion_s,p95_completion_s,p99_completion_s,window_jobs,window_success_rate,window_p50_completion_s,window_p95_completion_s,window_p99_completion_s,label
18,generation_outage,durable_workflow,520,1.0,0,0,687.5999999999959,1322.3076923076844,1.1115384615384616,90.75585990880518,228.928854669791,381.9852989912803,228,1.0,101.39883509587389,239.09910479585074,410.5709346118929,floor=0.10
19,generation_outage,durable_workflow,512,1.0,0,0,652.7999999999972,1274.9999999999945,1.099609375,85.69930637398329,203.18613539902162,299.94401751587975,197,1.0,96.61411925035009,253.22790789156636,311.3718301578863,floor=0.10
20,generation_outage,durable_workflow,521,1.0,0,0,674.1999999999965,1294.0499040307034,1.1036468330134357,88.98633534675707,238.03946325072388,345.8884516429139,196,1.0,96.16508810347977,265.46674829539256,439.79493977892093,floor=0.10
21,generation_outage,durable_workflow,544,1.0,0,0,708.5999999999966,1302.5735294117585,1.1084558823529411,79.47227225507675,233.09822807710952,311.5581898466122,208,1.0,93.17129381316659,235.51918934045102,322.4983160510683,floor=0.10
22,generation_outage,durable_workflow,557,1.0,0,0,733.3999999999959,1316.6965888689333,1.104129263913824,84.90536378423894,232.42825400244874,330.9026299532769,230,1.0,92.03663912197726,256.4425331196637,327.2344737905794,floor=0.10
23,generation_outage,durable_workflow,534,0.99812734082397,0,0,708.799999999996,1329.8311444652834,1.1142322097378277,85.39066180803424,216.54186968173371,356.7730542411666,233,1.0,101.86610699815287,224.5119000169384,358.6610902686955,floor=0.10
24,generation_outage,durable_workflow,568,0.9982394366197183,0,0,748.9999999999959,1320.9876543209805,1.1109154929577465,82.83386311868162,215.7878009457163,322.6774325731669,239,1.0,94.34015749252103,255.90998045106187,325.44114648091,floor=0.10
25,generation_outage,durable_workflow,535,1.0,0,0,731.999999999996,1368.224299065413,1.1476635514018692,90.21668409831068,239.5691667837716,346.7835132549352,217,1.0,104.31832974195947,266.3661326169189,406.3602739487435,floor=0.10
26,generation_outage,durable_workflow,502,1.0,0,0,677.1999999999965,1349.003984063738,1.1354581673306774,86.0775954319887,246.19706921169973,355.90480217810887,209,1.0,105.94904378991373,263.86841099899016,357.38203298425424,floor=0.10
27,generation_outage,durable_workflow,542,1.0,0,1,725.9999999999955,1339.4833948339399,1.1107011070110702,88.50116165910367,225.86282094344142,394.2270932642332,243,1.0,99.12481195151167,250.78660034844688,443.23915490029447,floor=0.10
28,generation_outage,durable_workflow,524,1.0,0,0,677.1999999999964,1292.3664122137334,1.08206106870229,86.5497954590042,219.89605278473618,317.06808073288926,214,1.0,100.21842579641589,232.0406597888682,307.604228176392,floor=0.10
29,generation_outage,durable_workflow,535,0.9981308411214953,0,0,703.599999999996,1317.6029962546743,1.0953271028037384,87.73393754004246,224.90805876376294,287.30467988711825,238,0.9957983193277311,98.61610612157392,224.32467759041947,324.76306808259505,floor=0.10
30,generation_outage,durable_workflow,512,1.0,0,0,680.3999999999963,1328.906249999993,1.11328125,84.86865386016899,239.96637050243226,360.9865223206341,222,1.0,93.80586473662675,250.6155000071576,369.65643830116414,floor=0.10
1,generation_outage,durable_workflow,513,1.0,0,0,672.1999999999963,1310.3313840155872,1.1091617933723197,86.76344716533941,235.58984075652552,306.46257038408305,212,1.0,98.01521454885051,253.20795888540897,330.52958172883336,floor=0.20
2,generation_outage,durable_workflow,540,1.0,0,0,697.7999999999967,1292.222222222216,1.1055555555555556,86.26442981662927,227.2526439829321,301.02254158319556,214,1.0,98.84799447571709,259.5220067487837,332.7308538230418,floor=0.20
3,generation_outage,durable_workflow,526,0.9980988593155894,0,0,687.7999999999965,1310.0952380952315,1.1045627376425855,84.37915410348751,204.49804990013263,307.3971028648316,219,0.9954337899543378,100.51362148259227,242.9960286225937,316.19541299874675,floor=0.20
4,generation_outage,durable_workflow,549,0.9963570127504554,0,0,721.7999999999963,1319.5612431444174,1.1074681238615665,86.06728678726154,224.0175911015349,318.9971798319906,241,0.991701244813278,98.33415863043274,247.6539818468725,332.74506220101,floor=0.20
5,generation_outage,durable_workflow,522,1.0,0,0,680.9999999999967,1304.597701149419,1.10727969348659,90.85242130965344,225.62735471852466,353.74946250251605,215,1.0,101.90407289386735,222.48077254004966,356.98619716464873,floor=0.20
6,generation_outage,durable_workflow,563,1.0,0,0,741.7999999999959,1317.584369449371,1.108348134991119,89.6423442533528,235.23757950263098,309.6744454057175,239,1.0,99.74159138041455,265.8448762386206,343.2086394100768,floor=0.20
7,generation_outage,durable_workflow,540,1.0,0,1,681.1999999999971,1261.481481481476,1.0796296296296297,83.95717137127667,241.005452836352,313.1103444451418,212,1.0,102.06842127146092,249.71711761267034,295.6541240780307,floor=0.20
8,generation_outage,durable_workflow,545,1.0,0,0,702.9999999999962,1289.9082568807269,1.0990825688073393,83.79234925761455,214.01962230350455,323.1582657900851,220,1.0,98.56082674766276,222.1317243317569,317.5462579619352,floor=0.20
9,generation_outage,durable_workflow,595,1.0,0,0,814.5999999999949,1369.0756302520924,1.1243697478991597,92.43072205189219,220.98547409339972,295.82923727018056,273,1.0,102.13932291879814,231.93541043549362,311.261725687576,floor=0.20
10,generation_outage,durable_workflow,518,1.0,0,0,670.5999999999971,1294.594594594589,1.113899613899614,86.53912851585619,224.75853464428337,285.05987049996395,206,1.0,95.59741558046358,250.83517238157947,299.9466419904604,floor=0.20
11,generation_outage,durable_workflow,542,1.0,0,0,721.7999999999959,1331.7343173431657,1.1125461254612545,88.59589951987346,248.07144898579895,381.3095902831599,243,1.0,102.28950874194334,264.8786730485209,381.3095902831599,floor=0.20
12,generation_outage,durable_workflow,501,1.0,0,0,670.3999999999963,1338.1237524950027,1.1177644710578842,87.60055446028537,231.3475186329049,350.63764160176106,211,1.0,98.63359791426547,255.64195492307385,370.76916648703764,floor=0.20
13,generation_outage,durable_workflow,540,1.0,0,0,707.5999999999962,1310.3703703703634,1.0962962962962963,88.86865495387565,215.20119963477623,330.12589213515093,234,1.0,97.50928880072092,227.57015673877822,330.12589213515093,floor=0.20
14,generation_outage,durable_workflow,548,1.0,0,0,727.799999999996,1328.1021897810147,1.1186131386861313,90.82664975239254,243.3193822303631,318.0844363151298,229,1.0,106.43834557167224,273.60080880444775,380.86173171017003,floor=0.20
15,generation_outage,durable_workflow,574,0.9982578397212544,0,0,748.7999999999955,1306.8062827225053,1.1062717770034842,90.07276501151273,227.22478341236592,316.32241056336443,237,0.9957805907172996,98.46113590976756,246.17656370039163,316.32241056336443,floor=0.20
16,generation_outage,durable_workflow,558,0.9982078853046595,0,0,734.1999999999958,1318.1328545780896,1.114695340501792,86.58531405331496,225.64635231105308,319.0854288427706,223,0.9955156950672646,98.42105905031895,238.89485732547382,312.80820353758736,floor=0.20
17,generation_outage,durable_workflow,504,0.996031746031746,0,0,654.9999999999967,1304.7808764940173,1.1031746031746033,85.87925471961762,227.38632668801347,358.45757608047404,208,0.9903846153846154,97.64521765545942,242.58716687019273,330.81816591509914,floor=0.20
18,generation_outage,durable_workflow,520,1.0,0,0,687.5999999999959,1322.3076923076844,1.1115384615384616,90.75585990880518,228.928854669791,381.9852989912803,228,1.0,101.39883509587389,239.09910479585074,410.5709346118929,floor=0.20
19,generation_outage,durable_workflow,512,1.0,0,0,652.7999999999972,1274.9999999999945,1.099609375,85.69930637398329,203.18613539902162,299.94401751587975,197,1.0,96.61411925035009,253.22790789156636,311.3718301578863,floor=0.20
20,generation_outage,durable_workflow,521,1.0,0,0,674.1999999999965,1294.0499040307034,1.1036468330134357,88.98633534675707,238.03946325072388,345.8884516429139,196,1.0,96.16508810347977,265.46674829539256,439.79493977892093,floor=0.20
21,generation_outage,durable_workflow,544,1.0,0,0,708.5999999999966,1302.5735294117585,1.1084558823529411,79.47227225507675,233.09822807710952,311.5581898466122,208,1.0,93.17129381316659,235.51918934045102,322.4983160510683,floor=0.20
